,Word 1,Word 2,Human (mean),w2v
0,love,sex,6.77,0.26393771171569824
1,tiger,cat,7.35,0.5172961950302124
2,tiger,tiger,10.0,0.9999999403953552
3,book,paper,7.46,0.3634625971317291
4,computer,keyboard,7.62,0.3963916301727295
5,computer,internet,7.58,0.4068623185157776
6,plane,car,5.77,0.37796980142593384
7,train,car,6.31,0.34025609493255615
8,telephone,communication,7.5,0.3321845233440399
9,television,radio,6.77,0.6114971041679382
10,media,radio,7.42,0.3899160921573639
11,drug,abuse,6.85,0.24085767567157745
12,bread,butter,6.19,0.6417260766029358
13,cucumber,potato,5.92,0.5678561925888062
14,doctor,nurse,7.0,0.6319523453712463
15,professor,doctor,6.62,0.21336083114147186
16,student,professor,6.81,0.4206618070602417
17,smart,student,4.62,0.06630216538906097
18,smart,stupid,5.81,0.47047194838523865
19,company,stock,7.08,0.3415686786174774
20,stock,market,8.08,0.4680556058883667
21,stock,phone,1.62,0.12326755374670029
22,stock,CD,1.31,0.06611791253089905
23,stock,jaguar,0.92,0.03606691211462021
24,stock,egg,1.81,0.10417767614126205
25,fertility,egg,6.69,0.256523460149765
26,stock,live,3.73,0.04447176307439804
27,stock,life,0.92,0.07456468045711517
28,book,library,7.46,0.324531227350235
29,bank,money,8.12,0.26132065057754517
30,wood,forest,7.73,0.4175162613391876
31,money,cash,9.15,0.6151220202445984
32,professor,cucumber,0.31,0.056618139147758484
33,king,cabbage,0.23,0.11813170462846756
34,king,queen,8.58,0.6510956883430481
35,king,rook,5.92,0.20875592529773712
36,bishop,rabbi,6.69,0.42778125405311584
37,Jerusalem,Israel,8.46,0.6638747453689575
38,Jerusalem,Palestinian,7.65,0.6342512369155884
39,holy,sex,1.62,0.10070593655109406
40,fuck,sex,9.44,0.22339172661304474
41,Maradona,football,8.62,0.28883829712867737
42,football,soccer,9.03,0.731354832649231
43,football,basketball,6.81,0.6682467460632324
44,football,tennis,6.63,0.5051178932189941
45,tennis,racket,7.56,0.3920080065727234
46,Arafat,peace,6.73,0.31498637795448303
47,Arafat,terror,7.65,0.3215480446815491
48,Arafat,Jackson,2.5,0.24712517857551575
49,law,lawyer,8.38,0.3446577191352844
50,movie,star,7.38,0.26419904828071594
51,movie,popcorn,6.19,0.44535526633262634
52,movie,critic,6.73,0.17430326342582703
53,movie,theater,7.92,0.47419044375419617
54,physics,proton,8.12,0.3664059340953827
55,physics,chemistry,7.35,0.43719831109046936
56,space,chemistry,4.88,0.0802517831325531
57,alcohol,chemistry,5.54,0.08876197040081024
58,vodka,gin,8.46,0.5971749424934387
59,vodka,brandy,8.13,0.6881492733955383
60,drink,car,3.04,0.24563539028167725
61,drink,ear,1.31,0.09346937388181686
62,drink,mouth,5.96,0.1730400174856186
63,drink,eat,6.87,0.5070200562477112
64,baby,mother,7.85,0.5839769840240479
65,drink,mother,2.65,0.15679939091205597
66,car,automobile,8.94,0.5838367938995361
67,gem,jewel,8.96,0.6210811138153076
68,journey,voyage,9.29,0.6830852627754211
69,boy,lad,8.83,0.588615894317627
70,coast,shore,9.1,0.5083667039871216
71,asylum,madhouse,8.87,0.2525393068790436
72,magician,wizard,9.02,0.48634958267211914
73,midday,noon,9.29,0.5527406930923462
74,furnace,stove,8.79,0.6083910465240479
75,food,fruit,7.52,0.37409260869026184
76,bird,cock,7.1,0.36290243268013
77,bird,crane,7.38,0.30286192893981934
78,tool,implement,6.46,0.2123422771692276
79,brother,monk,6.27,0.22320020198822021
80,crane,implement,2.69,0.023186152800917625
81,lad,brother,4.46,0.3595924973487854
